feature,status,best_shape,family_hint,holdout_log_loss_gain_best,holdout_brier_gain_best,train_log_loss_gain_best,shape_gap_best,direction_changes_best,recommendation,skip_reason,n_unique,n_non_missing,smooth_holdout_log_loss_gain,hinge_holdout_log_loss_gain,smooth_holdout_brier_gain,hinge_holdout_brier_gain,smooth_shape_gap,hinge_shape_gap
dyn_home_prob,strong,smooth,gam,0.0077300866689405945,0.0037610001082859223,0.004660290140389933,0.10215901772070834,2,consider_gam,,530,550,0.0077300866689405945,-0.0031538131662001145,0.0037610001082859223,-0.0012573316542197621,0.10215901772070834,0.05359724774074259
elo_home_pre,strong,hinge,mars,0.005061657285520105,0.001996300201860618,0.0025173532444153768,0.0790712144333045,1,consider_piecewise_transform_or_mars,,530,550,-0.0002881544777223466,0.005061657285520105,0.0004840775838868827,0.001996300201860618,0.07043606188318802,0.0790712144333045
home_r14_team_save_pct_proxy,moderate,hinge,mars,0.004566874557540568,0.0022413304970489156,0.0016324950853847664,0.05883269391035145,3,consider_piecewise_transform_or_mars,,486,550,0.003271004288143642,0.004566874557540568,0.0015842053038794823,0.0022413304970489156,0.03931897038269949,0.05883269391035145
home_r5_shots_against,moderate,smooth,gam,0.002682739301246184,0.0012082214732979102,0.0026209417478076924,0.10270834481415836,2,consider_gam,,39,550,0.002682739301246184,0.0017868611067237694,0.0012082214732979102,0.0008935663831577123,0.10270834481415836,0.09982858970584929
home_r5_goals_against,moderate,smooth,gam,0.001566028286542398,0.0007087111808398994,0.0027690364509900256,0.11223860909110028,3,consider_gam,,39,550,0.001566028286542398,0.0003266045983774113,0.0007087111808398994,0.00023716931632633553,0.11223860909110028,0.10382833604340347
home_ewm_shots_against,moderate,hinge,mars,0.0013386601574869594,0.0007378859879925426,0.0015730279504411193,0.13146227677354422,3,consider_piecewise_transform_or_mars,,514,550,2.10542123058044e-05,0.0013386601574869594,-2.284364201668443e-05,0.0007378859879925426,0.08366459992454084,0.13146227677354422
home_ewm_goals_against,moderate,smooth,gam,0.0002675401637167729,9.469038752865644e-05,0.0009127424809052265,0.060084527518216246,3,consider_gam,,514,550,0.0002675401637167729,2.3555832210808703e-05,9.469038752865644e-05,0.00012556464996102412,0.060084527518216246,0.12488969725119642
away_ewm_team_save_pct_proxy,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,518,550,-0.008707579036944524,-0.00596895300534106,-0.0044422738120892535,-0.003048491610032067,0.05931056975418747,0.08234165580550024
away_games_played_prior,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,36,550,-0.2917446834321208,-0.005625943226562957,-0.0954516243379166,-0.0026765997237551686,0.1782043267748626,0.07381944993439277
away_r14_team_save_pct_proxy,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,480,550,-0.005183886709052787,-0.006570304651380976,-0.0027728688143913993,-0.003234154341836465,0.09602153453791451,0.12755985174701023
away_r5_team_save_pct_proxy,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,280,550,-0.01370436453090107,-0.0016552670388896296,-0.0007646877171700595,-0.0004217980056191173,0.05454191331935332,0.08606392747480968
diff_form_goal_diff,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,530,550,-0.0027536498789880737,-0.0009139265340299962,-0.0013697321549503982,-0.0004281970724724915,0.16822724236629572,0.21185278927925766
diff_form_goal_diff_hinge_m1,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,412,550,-0.0038824842278439853,-0.0012035679297049962,-0.001690093481010263,-0.0004300285822255445,0.05641373624411017,0.04925938824856668
diff_form_win_rate,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,501,550,-0.003762561009722054,-0.006699671211615077,-0.0015069317853031172,-0.0027678948270090376,0.042871602039311174,0.07073967547875326
diff_xg_share,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,536,550,-0.003543207758847311,-0.0022439804146997533,-0.0017544235013279563,-0.001117393661052346,0.11809072657508324,0.14133020747790304
home_days_into_season,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,74,550,-0.09442927344071661,-0.006409504542426392,-0.035117837555560194,-0.0030345976913382644,0.1089924472024949,0.3111620680682319
home_days_into_season_spline,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,74,550,-0.05636828451508469,-0.0059258236116993546,-0.021912306522241798,-0.002821717431544024,0.3064534809319737,0.1917704442325674
home_r5_goal_diff,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,56,550,-0.006106902561870187,-0.003759967602916303,-0.003142576891746185,-0.0020089387123876923,0.07035090614927286,0.05673482592392998
home_r5_team_save_pct_proxy,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,291,550,-0.0005740395098223772,-0.0042781959139577275,-0.0005382367248043529,-0.002141604921936213,0.058821129645215464,0.062110093333441474
home_rest_days_x,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,105,550,-0.0013991790900709233,-0.006118794038647235,-0.000670217431681247,-0.0028782928907494787,0.029461285638313628,0.02647661838734605
home_xg_share_ewm,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,531,550,-0.003914359109816412,-0.002644703925486769,-0.002216487205213752,-0.0017543505672891757,0.08862989528379417,0.07959469428930055
rink_goal_effect,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,39,550,-0.007232923996840279,-0.006438439300908372,-0.0029893900271230622,-0.0028426560716003357,0.04239472711478087,0.033101322468043426
rink_shot_effect,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,40,550,-0.011338109418817743,-0.012727702074936564,-0.005158149681383506,-0.005706186237348365,0.05529599496712234,0.0450448232823254
home_starter_goalie_id,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,1,550,0.0,0.0,0.0,0.0,0.0,0.0
