model_name,display_name,parameter_count,active_parameter_count,n_features,train_log_likelihood,train_deviance,train_aic,train_bic,notes,split,params
intercept_only,Intercept Only,1,1,0,-284.4020927112919,,,,Empirical home-win base rate on the fit window,validation,p_home_win=0.555556
glm_ridge,GLM Ridge,112,112,111,-225.52151168135737,451.04302336271473,,,penalty=l2; solver=lbfgs,validation,c=0.05
glm_elastic_net,Elastic Net GLM,112,14,111,-238.7825220290444,477.5650440580888,,,penalty=elasticnet; solver=saga,validation,c=0.05; l1_ratio=0.5
glm_lasso,Lasso GLM,112,12,111,-237.51132879593013,475.02265759186025,,,penalty=l1; solver=saga,validation,c=0.1
glm_vanilla,Vanilla GLM,112,112,111,,11789.235676129514,,,statsmodels.GLM(Binomial),validation,{}
glmm_logit,GLMM Logit,76,63,10,,,,,fit=laplace_map; home_random_sd=2.7183; away_random_sd=2.7183,validation,feature_cap=10
dglm_margin,DGLM Margin,14,14,6,-4137.424866872646,78655.75930764207,8302.849733745292,8359.211857378847,iterations=1,validation,feature_cap=6; iterations=1
gam_spline,GAM Spline,21,21,8,-241.26006703004703,482.52013406009405,,,spline_features=3; n_knots=4,validation,c=0.25; feature_cap=3; n_knots=4
mars_hinge,MARS Hinge,33,9,10,-243.05240769336362,486.10481538672724,,,hinge_features=4; knots_per_feature=4; interaction_degree=1,validation,c=0.25; feature_cap=4; interaction_degree=1; knots_per_feature=4
intercept_only,Intercept Only,1,1,0,-496.9546387369469,,,,Empirical home-win base rate on the fit window,test,p_home_win=0.558011
glm_ridge,GLM Ridge,132,132,131,-419.2484231187108,838.4968462374216,,,penalty=l2; solver=lbfgs,test,c=0.05
glm_elastic_net,Elastic Net GLM,132,43,131,-432.08845364266165,864.1769072853233,,,penalty=elasticnet; solver=saga,test,c=0.05; l1_ratio=0.25
glm_lasso,Lasso GLM,132,18,131,-437.44098488795055,874.8819697759011,,,penalty=l1; solver=saga,test,c=0.1
glm_vanilla,Vanilla GLM,132,132,131,,20446.955625787123,,,statsmodels.GLM(Binomial),test,{}
glmm_logit,GLMM Logit,76,63,10,,,,,fit=laplace_map; home_random_sd=2.7183; away_random_sd=2.7183,test,feature_cap=10
dglm_margin,DGLM Margin,22,22,10,-7295.12669336696,146233.73855011686,14634.25338673392,14735.118797366407,iterations=1,test,feature_cap=10; iterations=1
gam_spline,GAM Spline,21,21,8,-445.0395611442396,890.0791222884792,,,spline_features=3; n_knots=4,test,c=0.25; feature_cap=3; n_knots=4
mars_hinge,MARS Hinge,21,9,6,-451.71534598876383,903.4306919775277,,,hinge_features=2; knots_per_feature=4; interaction_degree=1,test,c=0.25; feature_cap=2; interaction_degree=1; knots_per_feature=4
